user_uuid,first_name,birthday,city,country,is_new_user
33504,Aimé Marchand du Chevallier,1939-06-22,Sainte Jérôme,Sainte Lucie,True
26626,Matthieu Lefèvre,1937-06-11,Rouxboeuf,Slovénie,False
34414,Robert Renaud,1983-07-02,BrunelBourg,São Tomé et Príncipe (Rép.),True
24764,Michelle Hervé-Olivier,1972-03-24,Pascal,Cameroun,True
28209,Manon Hoareau,1944-05-02,Gilbertdan,Nouvelle-Zélande,False
24620,Inès Morin-Vallet,1948-03-06,Martydan,Samoa,False
30404,Michel Perrin du Faure,1995-10-30,Marion,Nauru,False
31722,Gérard Lebreton,1976-10-24,Allard-sur-Ollivier,Seychelles,False
26184,Margot de la Nicolas,1954-02-28,Menard,Bolivie,False
34020,Marcel Le Lagarde,1998-06-28,Ponsdan,Zimbabwe,True
33165,Margaux Le Gall,1960-10-01,Bouchet-la-Forêt,Oman,True
26847,Andrée Morin de Reynaud,1991-02-16,Berger,Belize,True
32972,Bertrand Martin,1951-04-07,Leconte,Thailande,False
27110,Xavier Bodin,1933-03-18,Fernandez,Sierra Leone,True
25095,Astrid-Édith Godard,1995-01-27,Jourdan,Qatar,True
31693,Adèle Millet,1944-10-02,Couturier-la-Forêt,Christmas (Île),True
25768,Daniel Weiss,1952-02-26,Garnier-sur-Girard,Cook (Îles),False
30678,Nathalie-Alix Didier,1982-07-08,Lenoir-les-Bains,Mexique,False
25241,Eugène Masson du Pineau,1964-08-19,Regnier,Chili,True
27783,Marthe Hubert,1963-04-20,RiouVille,Thailande,True
24720,Christelle Ramos,1956-02-14,Saint Margot-sur-Mer,Polynésie française,False
32495,Alphonse Barbe,1989-01-23,Saint Élisenec,Uruguay,True
32455,Luce Morel-Legrand,1934-03-22,Saint Alexboeuf,Ouganda,True
28667,Daniel Turpin,1972-11-28,Perrot,Nicaragua,False
33154,Georges Baron,1963-08-28,Sainte Charlottenec,Espagne,True
24958,Henri Jean,1987-06-15,Lebrunboeuf,Malte,False
33178,Alexandrie du Turpin,1978-11-07,Reynaud,Swaziland,False
29439,Nathalie Leduc,1962-11-22,Sainte Emmanuel,Guyane française,False
31753,Édith Grenier,1935-12-23,Boulangerboeuf,Maurice,False
31325,Victoire Traore,1949-11-13,Chauveaunec,Tuvalu,False
34201,Christophe-Eugène Pierre,1957-04-19,Garnier,Zambie,True
27659,Charlotte Rodrigues,1945-11-04,Rouxboeuf,Royaume-Uni,True
26854,Zacharie Laporte,1977-08-09,Allard-sur-Dumont,Nepal,False
28837,Étienne Ollivier,1998-02-01,Blanchet,République tchèque,True
25233,Mathilde Fournier,1940-10-08,Martineaunec,Burkina Faso,True
34338,Hugues Pruvost,1933-10-06,Sainte René,Samoa,False
33179,Pierre Thomas,1997-04-08,BuissonVille,Grenade,False
30055,Margot Maury de la Bonnin,1956-05-28,Allard,Autriche,False
33226,Paulette Gros,1994-09-01,LemoineVille,Vierges (Îles),True
27897,Gilles-Bernard Dupuy,1945-08-02,Bourdondan,Portugal,False
34025,Léon Normand,1946-02-09,Reynaud,République centrafricaine,True
27393,Juliette Weber,1932-08-24,Lelièvre,Kiribati,True
30223,Zoé Tanguy,1985-03-21,Sainte Hortense,Sahara Occidental,True
30180,Émile Vallet,1983-01-07,Sainte Marguerite,Pérou,True
30273,Bernadette du Rocher,1974-08-22,Legrand,Brunei,False
32774,Simone-Camille Fleury,1942-08-16,Robert-sur-Martel,Svalbard et Jan Mayen (Îles),False
33316,Adrien Ferrand,1938-09-12,Gallet-sur-De Sousa,Algérie,True
27708,Thierry Guyon,1983-06-29,De Oliveira,Fidji (République des),False
34191,Geneviève Laroche,1961-02-22,Chauvet,Antilles néerlandaises,True
28564,Olivie Lopez,1985-03-02,Mercier,Benin,True
27517,Honoré Bailly,1944-12-13,Sainte Nathboeuf,Pitcairn (Îles),False
30376,Adèle Pasquier,1966-04-22,Saint CarolineBourg,Aruba,False
25799,Cécile Devaux Le Bigot,2001-09-08,GrenierVille,Bhoutan,True
24971,Danielle-Simone Boulanger,1991-01-03,Mallet,Nouvelle-Zélande,False
29697,Emmanuelle Neveu,1954-11-19,Michaudnec,Inde,False
28638,Alexandrie Leblanc,1998-05-01,Guérin,Mozambique,False
27195,Alphonse Guérin,1973-02-06,Huet,Anguilla,False
26076,Alexandrie Robert,1958-03-10,RegnierBourg,Tonga,False
26330,Émilie-Isabelle Perrier,1943-11-20,Courtois-les-Bains,Irlande,False
34234,Hugues Reynaud-Guillet,1978-01-11,BlinBourg,Guatemala,False
33051,Rémy Foucher,1979-03-01,Sainte Marine,Ouganda,False
32122,Laetitia Sanchez,1996-08-06,Fernandeznec,Guinée-Bissau,False
27865,Monique Georges,1940-07-28,Saint Antoine,Togo,False
33901,Marc Perrier-Maurice,1972-06-27,Regnierdan,Cayman (Îles),True
33296,Laurence Le Wagner,1978-08-03,Gosselin,Jamaïque,False
27410,Raymond Reynaud,1937-09-01,Bruneau-la-Forêt,Tonga,False
33374,Yves Salmon,1955-12-07,Saint Véronique,Chypre,False
27106,Benjamin Alexandre,1947-03-28,Blin-sur-Fabre,Hong Kong,False
26039,Théophile Bonneau du Poulain,1932-03-31,Fournier,Sahara Occidental,True
26134,François Perrot,1934-02-16,Saint Marthenec,Arabie saoudite,True
28506,Margaud Grenier,1987-03-20,Mallet-sur-Deschamps,Bouvet (Îles),True
27499,Adrien Reynaud,1972-04-18,Saint Marcel,Vierges (Îles),True
27431,Alfred Peltier,1943-08-29,Adam,Nauru,False
32271,Colette Michaud-Pascal,1990-12-15,Chauveau,Chili,False
28313,Louis Philippe,1938-01-04,Petitjean,Zambie,True
33388,Bertrand Marion,1990-04-10,Berthelot,Irak,False
30249,Honoré Robert,1950-07-04,Sainte Benoît,Singapour,True
27938,Jean Barbe,1974-11-03,Chauvin,Tchad,True
32910,Véronique Michel Le Barbier,1940-09-06,Lopez-la-Forêt,Aruba,False
26619,Marie-Margaux Marion,1984-08-25,Saint Renée,Fidji (République des),True
27146,Patricia de la Devaux,1954-02-19,Martinez,Portugal,False
32261,Audrey Gros,1978-07-22,Saint ThéodoreVille,Ouzbékistan,True
25687,Nathalie Riou,1949-11-12,Maillet-sur-Thomas,Inde,True
32905,Lucas-Benjamin Marques,1950-05-18,Jacquesboeuf,Luxembourg,True
25158,Auguste Hoarau de la Chauveau,1942-02-01,Sainte Mathilde-la-Forêt,Sahara Occidental,False
27475,Manon Lenoir,1934-03-21,Devaux,Irlande,True
31986,Anne Louis de la Bourgeois,1967-05-15,Toussaint,Macédoine,True
27534,Madeleine-Nath Léger,1997-10-08,Pierre,Belgique,True
32369,Océane Lopez,1992-04-05,Saint Bernadette,France,True
26964,Sophie Denis-Guérin,1941-12-01,Antoine-sur-Evrard,Pitcairn (Îles),False
25974,François Hoareau,1955-12-28,Delahaye,Tonga,False
34138,Laurent-Gilbert Evrard,2000-06-16,Saint Thierry-sur-Mer,Thailande,True
30011,Hugues Colin de la Lefèvre,1961-01-05,Mullerboeuf,Réunion (La),False
25215,Paul-Pierre Germain,1972-04-26,Descamps-sur-Bodin,Qatar,False
32049,Suzanne Ferrand,1962-02-26,GuérinBourg,Marshall (Îles),False
31566,Vincent Guichard,1969-08-02,Faivre,Cayman (Îles),True
28573,Michèle Philippe-Thierry,1970-02-09,Martins-sur-Mer,Bosnie-Herzégovine,False
26653,Marguerite Lemaître,2001-06-07,Bigot,Tokelau,False
33058,Stéphane Allain,1978-08-28,Hamel,Zaïre,True
26011,Dorothée Vallée de la Chrétien,1995-05-13,Cousin,Heard et McDonald (Îles),True
24914,Claude Georges,2000-12-12,Richard-les-Bains,Indonésie,False
27715,Guy Brunel,1942-02-17,Maréchal,Singapour,True
25532,Stéphanie Arnaud,1934-06-27,Fleury-sur-Cordier,Sahara Occidental,False
28376,René Duhamel,1970-12-03,Gérard,Tadjikistan,True
27337,Alexandre Collin,1962-06-06,MarchalVille,Rép. Dém. du Congo,True
30958,Aimée Nguyen du Hebert,1994-12-30,Fischer-les-Bains,Cayman (Îles),True
29447,Manon Ferreira,1954-06-29,Alves-sur-Bonneau,Honduras,True
32770,Dominique Launay,2001-12-11,Rey-sur-Antoine,Macédoine,True
29360,Émile Devaux Le Maréchal,1933-07-19,Dubois,Gabon,True
31480,Rémy Jacob,1975-05-13,Morvandan,Antigua et Barbuda,True
34505,David Blanchet,1949-07-16,Bouchet,Bangladesh,False
31001,Alphonse de Barbier,1933-06-17,Saint ThéophileVille,République Dominicaine,True
29842,Adrien Guérin-Leroy,1979-11-06,Thibault-les-Bains,Gambie,True
29515,Zacharie Roy,1938-10-13,Saint Adèle,Philippines,False
31606,Clémence Rey,1989-01-18,Thomas,Wallis et Futuna (Îles),True
30550,Agathe de la Morin,1959-04-03,Sainte Astrid-sur-Mer,Iran,True
32906,François Le Goff,1995-03-05,Poirier,Ouzbékistan,True
27430,Suzanne Klein,1935-02-27,Lemonnier-sur-Foucher,Thailande,False
24761,Hélène Lemonnier,1934-10-22,Grenier,Mariannes du Nord (Îles),False
31600,Joseph Maury,1996-11-28,Bousquet-sur-Voisin,Yougoslavie,True
31273,Michelle Boucher,2001-07-15,PottierBourg,Polynésie française,True
31343,Guy Duhamel,1977-02-22,RoyerBourg,Falkland (Île),True
32607,René David,1992-01-22,Payet,Finlande,True
29871,Arthur Bonnin,1994-08-21,Sainte Christophe,Togo,False
31182,Honoré David-Barbe,1952-10-22,Petitjean,Cambodge,False
29000,René Martin,1958-02-26,Humbert,Turquie,False
31915,Anaïs Alexandre,1979-10-13,Turpin-sur-Maréchal,Oman,False
25874,Henriette de Millet,1942-12-17,Sainte Emmanuel,République Dominicaine,False
25881,Christiane Lemoine,1966-01-31,Maréchalnec,Costa Rica,False
34161,Marcel Bonnin,1974-10-26,Martinnec,Sainte Lucie,False
27642,Édouard Delorme,1979-07-15,Fischer,Argentine,False
33407,Margaux Thierry,1983-09-06,Saint ThomasBourg,Antigua et Barbuda,True
32237,Paul Le Goff-Guichard,1959-11-17,Lemaître,Yemen,True
31800,Odette de Bousquet,1935-02-23,Saint Hortensedan,République tchèque,True
33529,David Boulanger,1952-02-04,Mathieu-sur-Pereira,El Salvador,False
32374,Aimée-Michelle Aubry,1995-04-12,Paulboeuf,Réunion (La),False
34181,Jérôme Letellier,1991-06-17,Marty,Lettonie,True
27426,Christiane-Hortense Richard,1950-06-27,Benoit-les-Bains,Guinée Equatoriale,False
25302,Mathilde Allard-Vallet,1944-09-06,Julien,Grèce,False
29965,Marie Perrot,1936-01-31,Saint Christiane,Falkland (Île),True
33294,Susan-Margot Chevallier,1988-12-04,Fournier,Cap Vert,False
27268,Michelle Thierry,1982-11-14,Raynaud-les-Bains,Italie,True
31175,Clémence-Lucie Verdier,1989-09-18,Hoareaudan,Portugal,False
29118,Patrick Descamps-Jourdan,1990-09-25,Ruiz,Islande,False
33994,Rémy Dumas,1976-12-02,Texier,Niger,True
33769,Jérôme Peltier de la Barre,1947-02-23,Lucas-les-Bains,Madagascar,True
29833,Alain Richard,1995-09-07,Baudry-la-Forêt,Cuba,True
29299,Adrien Guillaume,1992-12-04,BlanchardVille,Turquie,True
28965,Guy Lemaître-Louis,1937-12-01,Renaud,Réunion (La),False
27137,Manon Roussel-Louis,1939-05-13,Legrand-sur-Courtois,Ghana,False
32770,Henri Munoz,1979-08-30,Fernandes,Espagne,True
29625,François Gomes,1989-12-17,Saint DavidVille,Indonésie,True
28676,Jeannine de Breton,1975-11-01,FaivreVille,Danemark,True
30905,André Brun,1938-01-30,Maillot,Maldives (Îles),True
27760,Daniel Foucher,2001-04-07,MaréchalBourg,Yemen,True
31264,Bertrand-Matthieu Moreno,1949-08-18,Imbert-sur-Colas,Argentine,True
26227,Renée Meyer,1989-08-04,Clerc,Togo,True
25424,Emmanuel-Xavier Texier,1968-06-06,Bonnin,France,False
25294,Julien Moulin-Auger,1959-03-21,Saint ÉdouardBourg,Suriname,False
30230,Céline Thibault,1935-12-12,Dumont,Russie,True
28351,Astrid Lopes,1958-04-19,Saint Jean,Papouasie-Nouvelle-Guinée,False
25318,Zacharie Millet,1933-05-16,Antoine,Namibie,False
31575,Catherine Bouchet,1979-07-24,Hoarau,Turquie,True
29147,Inès Lesage,1992-05-19,Girard-sur-Mer,Cuba,False
26162,Corinne Le Roux,1975-09-24,Hervé,Vierges (Îles),False
27460,Lucas Paris-Raynaud,1996-04-07,Lucas-sur-Mer,Émirats arabes unis,False
33472,Léon Gaudin,1955-11-11,Hernandezboeuf,Vatican (Etat du),True
33718,Jules Gaillard,1951-06-26,Sainte AlexBourg,Guam,True
31228,Anne Le Andre,1997-11-30,Fernandes-sur-Tessier,Mongolie,False
31637,Christiane Jacquet,1949-01-15,Boyer-la-Forêt,Samoa,True
28632,Jérôme Le Bigot,1944-02-27,Sainte Madeleine,Brunei,False
33270,Sophie de Camus,1936-04-16,Sainte Jeandan,Nigeria,True
33470,Alexandrie Perrot,1987-02-09,Pinto-les-Bains,Érythrée,True
32086,Claude Charles-Charles,2001-01-01,Parent,Yemen,True
24735,Simone Chauvet,1989-11-29,MunozBourg,Angola,False
34539,Gilbert-Gabriel Bazin,1987-03-19,Fabre,Mali,False
30541,Philippine Ferrand,1977-11-04,Sainte HuguesBourg,Indonésie,False
29910,Henri Vallée,1979-08-21,Saint AnaïsBourg,Saint Pierre et Miquelon,False
26074,Manon Lacroix Le Louis,1968-10-14,Reynaud,Sri Lanka,False
25071,Alexandre Peltier,1964-08-16,Techer,Arménie,True
27190,Alex Perrier-Delahaye,1955-10-01,Renardnec,Sainte Hélène,False
25627,Jérôme Fournier,1934-09-09,Marie,Syrie,True
33835,Célina Mathieu,1997-07-19,Deschampsdan,Jamaïque,False
25084,Roland-Victor Courtois,1986-09-13,CohenVille,Botswana,True
32380,Tristan Normand-Blanc,1995-10-23,Pires,Autriche,True
28315,Chantal-Christelle Thibault,1952-07-06,Lucas-sur-Buisson,Azerbaïdjan,True
27267,Laure Bailly,1976-11-12,Guyot,Bahamas,False
26268,Margaret Cousin,1982-10-07,Roux,Lithuanie,False
26978,Michel-Michel Dubois,1967-09-12,Dufour-les-Bains,Territoires français du sud,True
33094,Pauline Lebrun,1947-05-24,Marchand-sur-Bouvet,Swaziland,False
29429,Christelle-Pénélope Moulin,1971-12-02,PicardBourg,Corée du Nord,False
30184,Henriette Nicolas Le Guyot,2000-08-29,CohenVille,Algérie,True
29045,Charles Dupuis,1961-09-24,Lebonboeuf,Israël,True
32353,Sylvie du Berthelot,1949-06-21,Maheboeuf,Égypte,True
32339,Laurence Le Gall,1957-04-30,Thibault-les-Bains,El Salvador,False
32996,Alex-Alexandrie Marty,1942-06-04,Lenoir,Marshall (Îles),True
27662,Élodie Valette,1976-04-09,Mary-sur-Mer,Vanuatu,False
29273,Robert Brun,1978-08-26,Ledoux,Jamaïque,True
28856,Isabelle Dias-Blot,1990-01-17,Adam,Zambie,True
30140,Jeanne Raymond,1936-02-02,Delattre-sur-Guichard,Kirghizistan,True
25340,Matthieu Albert de Lefèvre,1956-03-27,Massedan,Guyane,True
34403,Thierry de la Roussel,1995-08-13,Legros,Irak,True
26395,Xavier Vincent,1957-04-21,Regnier-sur-Fabre,Trinité et Tobago,False
29043,Frédéric Ribeiro-Roux,1936-08-12,Thibault,Territoires français du sud,True
31218,Astrid Gauthier,2000-02-29,Sainte Marine-les-Bains,Svalbard et Jan Mayen (Îles),False
30402,Bernadette Dijoux-Seguin,1991-03-02,Adam-sur-Delattre,Fidji (République des),False
30072,Catherine Diaz,1957-07-17,Saint SébastienVille,Porto Rico,True
30799,Céline-Frédérique Turpin,1950-12-12,Sainte Bernadette,Malaisie,True
28669,Stéphane Lebon,1944-10-11,Petit-sur-Turpin,Montserrat,True
27532,Marie Labbé,1976-05-04,Benard,Vietnam,False
27625,Éléonore Pasquier,1932-06-17,Martinez-sur-Michel,Mongolie,False
27593,Agnès Lefèvre,1961-06-16,Gosselin,Macau,True
32374,Maurice Fournier,1976-06-08,Valette,Vietnam,False
32093,Aurore Marchand,1981-05-06,LaurentVille,Angola,False
31833,Nathalie Gallet,1941-03-27,Girardnec,Sénégal,False
31934,Roland Aubry-Delorme,1982-03-28,Bouvet,Samoa,True
30439,Lucie Guérin,1999-02-19,Lecomte-sur-Leroux,Irlande,False
24627,Alexandrie Samson de la Poulain,1958-06-21,Sainte Monique,Belgique,True
28043,Jacqueline Renaud,1956-06-02,Pereira-sur-Neveu,Bahrain,True
34396,Olivie Moreau,1941-08-29,Chevalier-sur-Mer,Lesotho,True
32147,Diane Marie,1985-11-23,Sainte Dominique-les-Bains,Slovénie,False
24535,Monique-Marcelle Legros,1937-05-24,Dumontnec,Cayman (Îles),True
27320,Marianne de la Le Goff,1941-06-20,Samson,Malaisie,False
28907,Alphonse Robert,1973-12-18,Humbert,Taiwan,True
32535,Josette Brun,1964-08-30,Hamon,Brésil,True
29250,Louis de la Mendès,1997-05-22,Bernard,Hongrie,False
30408,Corinne Weiss,1952-06-05,Pereira-sur-Raymond,Hong Kong,False
24683,Alix-Claudine Guillon,1971-12-27,Marchand-sur-Olivier,Bahrain,False
30858,Emmanuel Lejeune,1993-01-17,Saint Oliviernec,Argentine,False
30489,Colette Guyot de Weiss,1941-02-17,Arnaud,Vatican (Etat du),False
33024,Emmanuelle Bazin,1992-06-26,Chrétien,Guyane française,True
25145,Gilles Perret,1945-01-11,Sainte Arnaudenec,Ouganda,True
26497,René Pinto,1948-08-16,Lambert,Qatar,False
33774,Théophile-Patrick Legros,1954-02-25,Saint Nathalie,Yougoslavie,True
28927,Adrienne du Berthelot,2001-06-25,Laine,Guinée,False
29913,Marie Durand-Dumont,1939-08-14,Vasseur-les-Bains,Slovénie,True
30849,Virginie Le Salmon,2000-08-05,Gosselinboeuf,Botswana,True
24520,Susanne Georges,1979-07-18,Bourgeois,Maldives (Îles),True
33884,Lucie Le Gilbert,1934-05-06,Roche-la-Forêt,Bangladesh,True
27084,Bernard Faivre,1961-10-24,Bodin,Papouasie-Nouvelle-Guinée,True
30431,Marcelle Samson-Brun,1971-07-14,Sainte Honoré,Marshall (Îles),False
29882,Simone Gonzalez,1977-11-16,Dupré,Kazakhstan,True
32727,Guillaume Weber-Vincent,1978-02-20,Guyot,Saint-Kitts et Nevis,False
28085,Astrid Dumont de Guichard,1999-04-28,Legendre-la-Forêt,Macédoine,False
34344,Sabine Morel,1982-06-06,Rousseau,Fidji (République des),False
24840,Stéphane Le Goff,1977-03-30,Sainte Jean,France,False
32141,Henri Joly,1970-05-29,Bodin,Roumanie,True
25383,Christelle Lévêque,1967-11-09,Weiss,Libéria,False
26255,Alfred Delorme,1944-01-24,Saint Margaret,Wallis et Futuna (Îles),True
24815,Denise Clément,1936-12-11,Jean-sur-Mer,Saint Vincent et les Grenadines,True
29702,Roland Lejeune,1997-09-15,Godarddan,Pologne,False
34564,Chantal Brunel,1941-09-01,Fleury-sur-Devaux,Saint-Kitts et Nevis,True
28147,Alain Laporte,1975-03-29,Delaunaydan,Portugal,True
31184,Éléonore Hubert,1947-03-26,Colas-sur-Mer,Jordanie,False
30864,Roger Gaudin,1976-09-07,Ferrand,Jamaïque,True
33179,Chantal Pires,1967-09-01,Didier,Pakistan,False
27697,Christophe Adam,1998-05-22,Boulangerboeuf,Zimbabwe,False
30975,Hortense Guilbert de la Grondin,1960-06-27,Bretondan,Tokelau,True
26005,Nathalie Richard du Berthelot,1996-06-01,Martineauboeuf,Benin,False
31752,Édouard du Dumas,1989-03-10,Lacroix,Mauritanie,False
30723,Stéphane Normand de la Guérin,1990-06-13,PottierVille,Hong Kong,False
30645,Chantal Gros,2001-06-05,Riou,Kazakhstan,True
34511,Sébastien de la Baron,1980-06-05,Barbier-sur-Mer,Saint-Kitts et Nevis,True
24531,Éléonore Tanguy,1994-06-28,Martineau,Mayotte,True
34496,Frédéric Baron-Devaux,1962-03-08,Marion,Norvège,True
28992,Élisabeth Morel,1937-06-20,Gilles,Iran,False
25069,Thierry François,1963-11-14,Roussetdan,Aruba,False
33526,Alexandria Bonnin,1996-03-25,Hernandez-sur-Mer,Palau,False
30874,Caroline-Marianne Buisson,1992-12-20,Leleuboeuf,Rwanda,False
33620,Thérèse de Blanchard,1951-03-02,Carlier,Ouganda,True
24766,Sophie du Toussaint,1945-02-07,Labbé,Vatican (Etat du),False
33098,Zoé Sauvage,1991-12-19,Delattre,Cameroun,False
33694,Frédéric Legros,1958-09-27,Jean-sur-Michaud,Timor,False
30740,Laetitia Le Goff,1983-05-08,Denis,Sierra Leone,False
30169,Théodore Texier,1952-03-30,Foucher,Vanuatu,False
26475,Gérard Boutin,1946-10-06,Boucher,Israël,False
25971,Rémy Renaud,1994-12-16,JourdanVille,Émirats arabes unis,True
34383,Benjamin Blondel,1978-04-15,Fournier,Slovaquie,True
27816,Stéphane Fleury,1995-10-02,Normand,Norfolk (Îles),True
26635,Noël-Gérard Morel,1979-03-25,Perrot,Madagascar,True
30544,Michel Le Bernier,1965-05-27,Étienne,Kazakhstan,True
30853,Paul de la Roy,1997-10-21,Fernandes,Jamaïque,True
28733,Julien Verdier,1935-11-30,Lemoine,Corée du Nord,True
26929,Zacharie Godard,1936-08-07,Chauvet-les-Bains,Algérie,True
30359,Bernard Jourdan,1992-09-07,Hardynec,Fidji (République des),False
34279,Raymond Baron,1977-04-15,Sainte SophieVille,Sri Lanka,False
32564,Jacques Pages,1996-05-06,Maurice,Cap Vert,False
27838,Diane Chrétien,1936-04-02,GuillotBourg,Inde,False
31871,Margot Ollivier,1932-07-29,TessierVille,Tanzanie,False
27313,Élodie Rémy,1989-02-01,Meunier,Belgique,True
33689,Geneviève de la Grondin,1963-11-10,Saint Astrid,Martinique,False
25663,Henriette Gilles,1997-08-03,Gilles,République tchèque,True
33964,Maurice Giraud-Michaud,1996-09-15,Blanchard-sur-Sauvage,Pays-Bas,False
25594,Isabelle Marie,1940-11-18,Bonnin,Finlande,True
33441,Henriette de la Cohen,1938-04-20,Vasseur,Zimbabwe,False
27910,Gabrielle Breton,1979-11-13,FernandezBourg,Niue,False
29261,Guillaume Antoine,2000-09-16,Joubert,Haïti,True
30866,René de la Gilles,1965-10-22,François-sur-Mer,Malaisie,False
31037,Émile Delannoy,1949-02-16,Duhamel-sur-Huet,Moldavie,True
27948,Jeannine Langlois,1935-06-05,Georges,Cocos (Îles),True
25344,Jacqueline Marie,1932-07-07,Bernard,Niue,True
31323,Marguerite Vidal,1990-07-28,Sainte Brigitte,Venezuela,True
33226,Claire Loiseau-Valette,1958-09-20,Dupuy,Mexique,True
28317,Jean Perrot,1933-03-21,Étienne,Moldavie,True
32281,Valentine de la Lacroix,1992-10-31,Lemoine-sur-Laine,Danemark,False
25127,Benoît Lelièvre,1973-01-09,Vincentboeuf,Côte d'Ivoire,True
30539,Nathalie Thomas,1972-05-06,Guilbert-sur-Bonnin,Suisse,False
26763,Valérie Hamel,1940-01-01,Pierre,Kiribati,False
26704,Sabine Carlier Le Buisson,1932-08-07,Rodriguez,Bangladesh,False
31461,Pierre Marie,1978-06-14,Prévost-sur-Didier,Papouasie-Nouvelle-Guinée,True
33507,Julien Petit,1938-05-16,Marchal,Géorgie,False
34200,Laure Dumas-Couturier,1985-07-17,Guérin,Sainte Hélène,True
32480,Philippe-Vincent Dufour,1992-10-16,Coste-la-Forêt,Anguilla,False
30765,Adélaïde Rivière,1947-11-25,Duhamel,Samoa,False
28718,Noël-Antoine Diallo,1971-10-13,Guibert-la-Forêt,Chypre,False
